,name,code,now,closePrice,openPrice,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),highestPrice,lowestPrice,价格/成交量(手)/成交额,turnoverVol,turnoverValue,turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,quantityRatio,委差,均价,PE1,PE2,chgPct,turnoverRate,marketValue,negMarketValue
000001,上证指数,000001,3271.03,3259.86,3264.79,34987537000.0,17493768500,17493768500.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2022-03-23 15:59:10,11.17,0.34,3279.89,3251.98,3271.03/349875370/405422033502,34987537000,405422030000.0,0.84,12.58,,3279.89,3251.98,0.86,389339.32,494999.79,0.0,-1.0,-1.0,0.9,0.0,3265.86,,,0.0034000000000000002,0.0084,49499979000000.0,38933932000000.0
000002,Ａ股指数,000002,3428.37,3416.64,3421.82,34963715600.0,17481857800,17481857800.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2022-03-23 16:00:01,11.73,0.34,3437.67,3408.38,3428.37/349637156/405271736824,34963715600,405271740000.0,0.84,12.57,,3437.67,3408.38,0.86,389030.87,494248.53,0.0,-1.0,-1.0,0.9,0.0,3422.94,,,0.0034000000000000002,0.0084,49424853000000.0,38903087000000.0
000003,Ｂ股指数,000003,277.45,277.01,277.11,22685900.0,11343000,11343000.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2022-03-23 15:59:18,0.44,0.16,277.45,276.39,277.45/226859/97715454,22685900,97720000.0,0.15,13.77,,277.45,276.39,0.38,103.74,424.15,0.0,-1.0,-1.0,0.65,0.0,276.98,,,0.0016,0.0015,42415000000.0,10374000000.0
000004,工业指数,000004,3047.22,3027.52,3035.46,20697706600.0,10348853300,10348853300.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2022-03-23 16:00:03,19.7,0.65,3054.93,3022.06,3047.22/206977066/274104186986,20697706600,274104190000.0,1.18,22.08,,3054.93,3022.06,1.09,229502.63,275134.5,0.0,-1.0,-1.0,0.92,0.0,3040.8,,,0.006500000000000001,0.0118,27513450000000.0,22950263000000.0
000005,商业指数,000005,2664.66,2662.1,2658.76,2613261400.0,1306630700,1306630700.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2022-03-23 16:00:06,2.56,0.1,2675.97,2650.93,2664.66/26132614/25795332034,2613261400,25795330000.0,1.07,11.57,,2675.97,2650.93,0.94,21028.35,32116.26,0.0,-1.0,-1.0,0.94,0.0,2661.96,,,0.001,0.010700000000000001,3211626000000.0,2102834999999.9998
000006,地产指数,000006,6548.9,6428.43,6433.2,1434454600.0,717227300,717227300.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2022-03-23 15:59:09,120.47,1.87,6670.19,6348.13,6548.90/14344546/9849374369,1434454600,9849370000.0,1.56,6.26,,6670.19,6348.13,5.01,7205.89,7511.82,0.0,-1.0,-1.0,1.43,0.0,6482.0,,,0.0187,0.015600000000000001,751182000000.0,720589000000.0
000007,公用指数,000007,4413.49,4434.07,4431.15,3401004900.0,1700502500,1700502500.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2022-03-23 15:59:13,-20.58,-0.46,4437.41,4389.83,4413.49/34010049/20971612415,3401004900,20971610000.0,0.71,24.28,,4437.41,4389.83,1.07,24051.76,30402.74,0.0,-1.0,-1.0,0.8,0.0,4417.08,,,-0.0046,0.0070999999999999995,3040274000000.0,2405176000000.0
000008,综合指数,000008,2594.98,2600.17,2600.86,6841109500.0,3420554800,3420554800.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2022-03-23 15:59:05,-5.19,-0.2,2602.47,2579.05,2594.98/68411095/74701527696,6841109500,74701530000.0,0.43,6.92,,2602.47,2579.05,0.9,107550.69,149834.47,0.0,-1.0,-1.0,0.8,0.0,2593.9,,,-0.002,0.0043,14983447000000.0,10755069000000.0
000009,上证380,000009,5969.74,5932.61,5937.47,6418858900.0,3209429500,3209429500.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2022-03-23 16:00:01,37.13,0.63,5985.1,5920.18,5969.74/64188589/83525849092,6418858900,83525850000.0,1.0,14.82,,5985.1,5920.18,1.09,69474.57,85121.75,0.0,-1.0,-1.0,0.88,0.0,5955.13,,,0.0063,0.01,8512175000000.0,6947457000000.001
000010,上证180,000010,9049.48,9017.76,9037.13,8417912700.0,4208956400,4208956400.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2022-03-23 15:59:02,31.72,0.35,9080.94,8986.22,9049.48/84179127/136898407778,8417912700,136898410000.0,0.37,10.26,,9080.94,8986.22,1.05,244128.25,320764.75,0.0,-1.0,-1.0,0.75,0.0,9033.4,,,0.0034999999999999996,0.0037,32076475000000.0,24412825000000.0
000011,基金指数,000011,6877.33,6830.67,6854.55,44191826500.0,22095913300,22095913300.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2022-03-23 15:59:09,46.66,0.68,6893.0,6835.74,6877.33/441918265/74791139180,44191826500,74791140000.0,,,,6893.0,6835.74,0.84,,,0.0,-1.0,-1.0,0.96,0.0,6869.6,,,0.0068000000000000005,,,
000012,国债指数,000012,193.16,193.24,193.25,18540500.0,9270300,9270300.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2022-03-23 15:59:06,-0.08,-0.04,193.27,193.15,193.16/185405/182550805,18540500,182550000.0,,,,193.27,193.15,0.06,,,0.0,-1.0,-1.0,0.85,0.0,193.24,,,-0.0004,,,
000013,企债指数,000013,261.65,261.69,261.72,18112500.0,9056300,9056300.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2022-03-23 16:14:51,-0.04,-0.02,261.73,261.65,261.65/181125/1659833852,18112500,1659830000.0,,,,261.73,261.65,0.03,,,0.0,-1.0,-1.0,2.1,0.0,261.67,,,-0.0002,,,
